region,Inflyttningar 1968,Inflyttningar 1969,Inflyttningar 1970,Inflyttningar 1971,Inflyttningar 1972,Inflyttningar 1973,Inflyttningar 1974,Inflyttningar 1975,Inflyttningar 1976,Inflyttningar 1977,Inflyttningar 1978,Inflyttningar 1979,Inflyttningar 1980,Inflyttningar 1981,Inflyttningar 1982,Inflyttningar 1983,Inflyttningar 1984,Inflyttningar 1985,Inflyttningar 1986,Inflyttningar 1987,Inflyttningar 1988,Inflyttningar 1989,Inflyttningar 1990,Inflyttningar 1991,Inflyttningar 1992,Inflyttningar 1993,Inflyttningar 1994,Inflyttningar 1995,Inflyttningar 1996,Inflyttningar 1997,Inflyttningar 1998,Inflyttningar 1999,Inflyttningar 2000,Inflyttningar 2001,Inflyttningar 2002,Inflyttningar 2003,Inflyttningar 2004,Inflyttningar 2005,Inflyttningar 2006,Inflyttningar 2007,Inflyttningar 2008,Inflyttningar 2009,Inflyttningar 2010,Inflyttningar 2011,Inflyttningar 2012,Inflyttningar 2013,Inflyttningar 2014,Inflyttningar 2015,Inflyttningar 2016,Inflyttningar 2017,Inflyttningar 2018,Inflyttningar 2019,Inflyttningar 2020,Inflyttningar 2021
01 Stockholms län,43530,52799,54051,40502,35293,36283,38706,40875,42844,41620,37504,37592,38202,36661,36097,34300,37990,41872,43290,39654,39600,40743,40195,39632,36159,39166,47681,45759,47302,51245,53673,55149,56053,52813,48922,47687,48125,52105,63419,67598,65122,66363,68517,70953,72180,72678,75095,76678,80010,85067,83891,79240,69487,75569
03 Uppsala län,9919,11930,12343,10452,10435,10899,10655,10037,11083,10178,9780,9434,9608,8495,8652,7860,8949,9442,10051,9548,10224,11108,11302,11764,11234,12250,13438,11989,11528,12669,12649,12747,13224,13446,13102,12842,13135,13334,13763,14986,15015,15684,15842,14928,15740,16191,17073,18947,20061,21317,21336,21265,20570,22101
04 Södermanlands län,8516,11624,12704,9010,8178,8685,9642,9753,8256,7029,6452,7062,7864,6641,6137,6113,6997,6832,6976,7433,8493,8877,8571,7560,6956,7980,9041,7195,6954,8056,8393,8589,9008,9624,9935,9713,9216,9370,9864,10830,11039,10348,10350,10887,11159,12030,12658,12829,14131,13364,13084,12755,12786,13352
05 Östergötlands län,10387,13190,14247,10250,9150,10033,9371,10093,10451,9294,7692,8012,8251,7125,6628,6475,7524,8014,8412,8147,8567,9878,9723,9355,8366,10237,13490,10336,9764,10458,10607,10985,11784,12306,12074,12090,11806,12049,13548,14455,14180,14691,14157,14077,14780,15648,16263,16163,18045,17441,16457,15695,14813,15644
06 Jönköpings län,8892,10927,10674,7336,7473,7667,8798,8188,7795,7239,6023,6901,7818,5990,5051,5254,6149,6550,7270,7453,8434,9637,8615,7499,6140,7590,10281,7897,7032,8297,8808,8836,9886,9188,9088,9144,9132,9459,10665,11066,10613,9690,10392,10287,10597,11611,12648,13546,14367,14482,13292,11967,11607,12239
07 Kronobergs län,5812,7300,7505,5846,5115,5903,5661,5902,5607,5211,4648,5169,5401,4467,3627,3978,4180,3949,4247,4393,5541,5676,5408,4759,4206,4932,7281,5271,4524,5222,5343,5414,5849,5857,5880,6140,6478,6319,7701,7873,7674,7380,7355,7222,7650,8354,9056,9257,9901,10278,9258,8571,8347,8588
08 Kalmar län,6200,7517,7580,5663,5260,5836,5970,6284,5729,5533,4777,5186,5372,4180,4243,3919,4176,4338,4910,5251,5983,7221,6803,6125,5058,6083,9278,5943,5205,5886,5862,5795,6579,6764,6990,7195,6969,7131,7714,7756,7597,7767,7551,7560,8037,8404,9798,10154,12773,10613,9060,8390,8306,8492
09 Gotlands län,1082,1278,1070,1143,1126,1176,1229,1279,1240,1053,1056,1135,1118,1037,1033,898,1030,1100,1119,1205,1153,1565,1355,1375,1194,1304,1735,1471,1534,1673,1769,1717,2003,2142,1985,2057,2140,2053,1995,1957,1972,2098,2150,2149,2126,2212,2284,2499,2851,2998,2924,2735,2846,3219
10 Blekinge län,4087,5863,6052,4641,4493,4407,4593,4357,3531,3335,3146,3253,3114,2449,2371,2530,2766,2703,2757,2866,3767,4008,3755,3457,2950,3774,5369,3804,3519,4384,4456,4050,4685,4429,4432,4376,4663,4866,5456,5447,5404,5248,5456,4927,5254,5747,6638,7560,7806,6651,6016,5539,5286,5486
12 Skåne län,19900,22825,25114,20716,18007,18624,21118,19011,16626,16433,14205,15013,15934,13078,13660,13230,14325,15462,16126,16342,18078,20072,19540,19135,18106,19518,26514,22371,21252,23123,25122,24805,27026,27728,28755,28617,29037,30009,36779,37808,37561,37216,36454,34591,34937,36393,39935,41759,46090,46328,43824,40761,38398,39605
