region,Invandringar 1968,Invandringar 1969,Invandringar 1970,Invandringar 1971,Invandringar 1972,Invandringar 1973,Invandringar 1974,Invandringar 1975,Invandringar 1976,Invandringar 1977,Invandringar 1978,Invandringar 1979,Invandringar 1980,Invandringar 1981,Invandringar 1982,Invandringar 1983,Invandringar 1984,Invandringar 1985,Invandringar 1986,Invandringar 1987,Invandringar 1988,Invandringar 1989,Invandringar 1990,Invandringar 1991,Invandringar 1992,Invandringar 1993,Invandringar 1994,Invandringar 1995,Invandringar 1996,Invandringar 1997,Invandringar 1998,Invandringar 1999,Invandringar 2000,Invandringar 2001,Invandringar 2002,Invandringar 2003,Invandringar 2004,Invandringar 2005,Invandringar 2006,Invandringar 2007,Invandringar 2008,Invandringar 2009,Invandringar 2010,Invandringar 2011,Invandringar 2012,Invandringar 2013,Invandringar 2014,Invandringar 2015,Invandringar 2016,Invandringar 2017,Invandringar 2018,Invandringar 2019,Invandringar 2020,Invandringar 2021
01 Stockholms län,10816,15939,18436,12185,9235,9339,10204,12171,15835,16700,14919,14306,14855,12876,12028,10099,10653,11736,13657,13144,14004,15130,14809,12963,12288,13274,14635,13299,13674,14378,15895,16739,18518,19218,18526,17760,16811,18470,27721,30310,29034,30095,30255,31562,33044,32754,34095,35198,36758,38637,40009,37199,26693,30702
03 Uppsala län,1045,1830,2166,1297,997,882,1113,1045,1793,1778,1600,1435,1515,1283,1481,1119,1415,1304,1645,1942,2168,2508,2516,2442,2222,2790,2706,1818,1631,1943,2154,1976,2238,2226,2302,2054,1975,1903,2445,2742,3088,3455,3643,3004,3314,3443,3715,4249,4835,5030,4911,4526,3150,3698
04 Södermanlands län,1225,3141,4317,1536,960,991,1568,1933,1591,1177,946,994,1421,1176,1142,1059,1427,1030,1009,1168,1503,1896,1604,1263,1391,2365,2532,1284,1006,1108,1279,1246,1482,1495,1617,1486,1278,1403,1935,2329,2560,2408,2149,2237,2405,3396,3512,3520,5090,3805,3129,2313,1692,1537
05 Östergötlands län,1269,3058,3668,1657,1038,920,1063,1119,1698,1820,1123,1092,1245,855,817,737,1053,1204,1558,1518,1618,2097,1840,1605,1687,2954,3395,1815,1390,1588,1584,1676,1931,1999,2223,2187,1814,2108,3015,3320,3452,4063,3229,2957,3373,4101,4432,4612,6221,4960,4705,3994,2392,2654
06 Jönköpings län,1053,2487,2861,1101,756,721,1233,1344,1344,1188,736,811,1059,719,618,504,819,991,1182,1368,1921,2891,2093,1692,1429,2725,3799,1237,990,1060,989,1109,1378,1536,1636,1589,1565,1559,2462,2729,2920,2458,2471,2156,2563,3563,4109,4571,5624,5278,4205,3317,2241,2239
07 Kronobergs län,670,1499,2106,1337,924,1169,1179,1518,1300,1351,1060,960,1027,1090,543,812,856,592,722,893,1231,1784,1452,1081,857,1457,2797,1131,544,865,850,778,1024,1064,1027,1257,1336,1253,2464,2657,2449,2386,2127,2164,2391,3146,3385,3483,4041,3734,2914,2259,1632,1716
08 Kalmar län,592,1498,1621,811,405,427,572,863,565,616,396,449,558,360,339,386,336,477,585,788,1045,1761,1404,1296,942,1874,3801,968,565,854,914,645,1113,1139,1104,1141,1135,1094,1667,1688,1603,1845,1564,1734,2081,2553,3290,3725,6279,3552,2441,1912,1298,1385
09 Gotlands län,56,63,45,28,35,41,53,51,49,67,38,56,64,54,51,57,54,72,124,111,119,162,172,129,199,199,173,104,113,103,139,129,148,158,164,163,139,163,157,163,201,196,235,209,253,240,245,328,448,459,485,421,283,381
10 Blekinge län,556,1747,1942,700,476,437,694,809,439,475,426,332,415,326,261,203,219,294,350,619,755,852,696,559,388,931,1928,599,452,639,821,616,908,762,999,910,897,913,1632,1810,1869,1676,1567,1204,1334,1568,2051,2775,3393,2308,1620,1226,759,798
12 Malmöhus län,3928,5595,7610,4907,3312,3404,5547,4783,3832,3917,3086,3291,3881,3032,3529,2981,3249,3652,4154,4232,5055,6449,5851,4913,4625,5159,6579,5794,5044,5975,6599,6725,8167,9187,10316,10721,11266,11918,17720,18392,18649,18120,16884,15649,15885,16182,18239,19399,23503,22613,20665,18244,13725,14542
