"Flyttningar efter region, ålder, tabellinnehåll och år",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,ålder,Invandringsöverskott 1968,Invandringsöverskott 1969,Invandringsöverskott 1970,Invandringsöverskott 1971,Invandringsöverskott 1972,Invandringsöverskott 1973,Invandringsöverskott 1974,Invandringsöverskott 1975,Invandringsöverskott 1976,Invandringsöverskott 1977,Invandringsöverskott 1978,Invandringsöverskott 1979,Invandringsöverskott 1980,Invandringsöverskott 1981,Invandringsöverskott 1982,Invandringsöverskott 1983,Invandringsöverskott 1984,Invandringsöverskott 1985,Invandringsöverskott 1986,Invandringsöverskott 1987,Invandringsöverskott 1988,Invandringsöverskott 1989,Invandringsöverskott 1990,Invandringsöverskott 1991,Invandringsöverskott 1992,Invandringsöverskott 1993,Invandringsöverskott 1994,Invandringsöverskott 1995,Invandringsöverskott 1996,Invandringsöverskott 1997,Invandringsöverskott 1998,Invandringsöverskott 1999,Invandringsöverskott 2000,Invandringsöverskott 2001,Invandringsöverskott 2002,Invandringsöverskott 2003,Invandringsöverskott 2004,Invandringsöverskott 2005,Invandringsöverskott 2006,Invandringsöverskott 2007,Invandringsöverskott 2008,Invandringsöverskott 2009,Invandringsöverskott 2010,Invandringsöverskott 2011,Invandringsöverskott 2012,Invandringsöverskott 2013,Invandringsöverskott 2014,Invandringsöverskott 2015,Invandringsöverskott 2016,Invandringsöverskott 2017,Invandringsöverskott 2018,Invandringsöverskott 2019,Invandringsöverskott 2020,Invandringsöverskott 2021
01 Stockholms län,totalt ålder,1805,9019,10033,1129,-4445,-3722,1310,4697,8341,10680,7897,6235,4415,2401,2132,85,1716,3623,3702,4347,6443,8132,7099,5166,4102,4072,3864,1606,2853,2121,4071,5124,7176,8567,7668,6509,4301,5656,11944,14726,15130,18894,15059,17685,16810,16365,16776,16918,20615,22167,23452,20559,9118,14479
03 Uppsala län,totalt ålder,499,1348,1569,393,-201,-240,178,46,962,1157,948,629,383,370,504,229,580,534,882,1236,1373,1766,1676,1633,1178,1180,894,358,28,370,849,445,649,903,906,592,520,217,726,1315,1764,2115,2053,1384,1293,1691,1297,2079,3233,3385,3186,2587,1268,1825
04 Södermanlands län,totalt ålder,546,2342,3148,-209,-793,-591,602,978,843,512,382,355,598,274,237,406,765,433,350,599,856,1313,917,629,786,1654,1911,466,229,253,446,426,776,891,936,769,594,723,1245,1608,1768,1687,1186,1264,1351,2434,2593,2499,4291,2916,2344,1341,630,470
05 Östergötlands län,totalt ålder,656,2303,2607,46,-321,-641,-36,198,911,1024,435,352,293,19,-89,-18,395,576,813,862,1002,1329,1092,945,923,2043,2376,795,223,178,205,453,758,1011,1110,1119,736,1031,1744,1854,2086,2965,1550,1148,1643,2686,2968,2672,4882,3493,3135,2491,816,1087
06 Jönköpings län,totalt ålder,474,2009,2120,51,-140,-322,617,522,562,574,70,178,381,28,14,-111,314,459,745,903,1523,2243,1255,1004,721,1903,3011,398,243,89,-27,329,677,798,915,929,843,808,1584,1917,2009,1635,1379,1049,1602,2607,3099,3245,4664,4396,3241,2246,1102,1074
07 Kronobergs län,totalt ålder,311,1220,1563,835,390,542,712,998,917,953,746,733,765,732,61,542,569,288,444,681,930,1451,1014,585,247,834,2142,584,-12,298,251,180,563,638,585,797,882,730,1877,2122,1785,1786,1476,1322,1641,2390,2713,2730,3413,3079,2177,1506,788,843
08 Kalmar län,totalt ålder,259,1196,1126,240,-107,-145,203,431,157,306,69,180,239,82,52,121,117,195,332,570,769,1468,1087,954,608,1438,3350,448,153,236,399,188,734,790,728,787,707,654,1173,1116,858,1343,930,910,1517,1907,2694,3048,5711,3021,1869,1364,751,817
09 Gotlands län,totalt ålder,40,48,-22,-13,-5,-15,24,12,17,46,14,31,21,31,17,24,25,36,87,44,90,124,133,79,156,125,120,32,55,-6,52,24,55,57,35,40,41,60,42,30,49,113,100,24,109,151,116,201,320,345,345,263,176,224
10 Blekinge län,totalt ålder,59,1411,1467,-154,-159,-151,290,329,39,267,178,101,149,142,54,18,50,143,173,495,592,680,503,373,161,644,1648,319,111,193,429,213,476,318,682,566,608,584,1252,1346,1329,1221,926,405,264,967,1591,2323,2873,1860,1060,711,250,374
12 Skåne län,totalt ålder,1299,3386,4550,715,-286,-1321,2487,1260,624,1252,182,273,345,-29,858,498,886,1366,1473,2214,2879,3951,2911,2087,1558,1466,2441,1471,619,356,1533,2056,3441,4697,5296,4521,5221,5341,10099,10180,10230,10225,6727,4973,6181,5979,8371,8669,14546,13788,11568,9183,4658,5542
